task_id,condition,rep,passed,cost_usd,latency_s,input_tokens,output_tokens,cache_read_tokens,top_tier_output_tokens,first_passing_tier,stopped_early_at_tier,tiers_run,gate_decisions,tiers,error
c06_extract_function__medium,haiku-scratch,0,1,0.010356,6.225,5091,1053,0,,,,,,,
c06_extract_function__medium,haiku-scratch,1,0,0.008041,4.378,5091,590,0,,,,,,,
c06_extract_function__medium,haiku-scratch,2,1,0.010356,6.079,5091,1053,0,,,,,,,
c06_extract_function__medium,sonnet-scratch,0,1,0.033099,16.847,5088,1189,0,,,,,,,
c06_extract_function__medium,sonnet-scratch,1,1,0.036943,14.838,3,1191,0,,,,,,,
c06_extract_function__medium,sonnet-scratch,2,1,0.036553,15.375,3,1165,0,,,,,,,
c06_extract_function__medium,opus-scratch,0,1,0.060762,13.119,4925,1147,0,,,,,,,
c06_extract_function__medium,opus-scratch,1,1,0.057026,9.226,2,1026,1194,,,,,,,
c06_extract_function__medium,opus-scratch,2,1,0.057026,12.629,2,1026,1194,,,,,,,
c06_extract_function__medium,cascade-2-diff,0,1,0.069561,12.502,720,1400,0,874,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c06_extract_function__medium,cascade-2-diff,1,1,0.030730,12.801,344,1408,10647,878,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c06_extract_function__medium,cascade-2-diff,2,1,0.028445,12.196,344,1231,10647,808,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c06_extract_function__medium,cascade-2-rewrite,0,1,0.055755,11.233,715,1149,4739,623,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c06_extract_function__medium,cascade-2-rewrite,1,1,0.024069,10.683,344,1067,10318,640,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c06_extract_function__medium,cascade-2-rewrite,2,1,0.024619,11.066,344,1177,10318,640,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c06_extract_function__medium,cascade-3-diff,0,1,0.041342,15.272,1805,1227,10647,82,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c06_extract_function__medium,cascade-3-diff,1,1,0.025985,14.751,347,1173,15293,53,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c06_extract_function__medium,cascade-3-diff,2,1,0.026595,14.568,347,1219,15293,72,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c06_extract_function__medium,cascade-3-rewrite,0,1,0.037355,15.895,1796,984,10318,66,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c06_extract_function__medium,cascade-3-rewrite,1,1,0.024167,13.809,347,1083,14705,62,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c06_extract_function__medium,cascade-3-rewrite,2,1,0.024372,14.340,347,1088,14705,71,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c06_extract_function__medium,cascade-2-diff-gated,0,1,0.035492,16.987,571,1552,10647,808,1,,2,t0:Nok,claude-haiku-4-5|claude-opus-4-8,
c06_extract_function__medium,cascade-2-diff-gated,1,1,0.031014,16.780,571,1660,14819,797,1,,2,t0:Nok,claude-haiku-4-5|claude-opus-4-8,
c06_extract_function__medium,cascade-2-diff-gated,2,1,0.032834,17.295,571,1724,14819,872,1,,2,t0:Nok,claude-haiku-4-5|claude-opus-4-8,
c06_extract_function__medium,cascade-2-rewrite-gated,0,1,0.026918,15.953,571,1508,14490,640,1,,2,t0:Nok,claude-haiku-4-5|claude-opus-4-8,
c06_extract_function__medium,cascade-2-rewrite-gated,1,1,0.026743,15.926,571,1481,14490,638,1,,2,t0:Nok,claude-haiku-4-5|claude-opus-4-8,
c06_extract_function__medium,cascade-2-rewrite-gated,2,1,0.026808,15.781,571,1490,14490,639,1,,2,t0:Nok,claude-haiku-4-5|claude-opus-4-8,
c06_extract_function__medium,cascade-3-diff-gated,0,1,0.033506,26.555,1203,2347,23637,51,1,,3,t0:Nok;t1:NX,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c06_extract_function__medium,cascade-3-diff-gated,1,1,0.033281,26.272,1203,2186,23637,79,1,,3,t0:Nok;t1:NX,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c06_extract_function__medium,cascade-3-diff-gated,2,1,0.032436,24.375,1203,2089,23637,61,1,,3,t0:Nok;t1:NX,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c06_extract_function__medium,cascade-3-rewrite-gated,0,1,0.030232,26.339,1203,1970,23049,59,1,,3,t0:Nok;t1:NX,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c06_extract_function__medium,cascade-3-rewrite-gated,1,1,0.029712,24.613,1203,1862,23049,61,1,,3,t0:Nok;t1:NX,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c06_extract_function__medium,cascade-3-rewrite-gated,2,1,0.030077,23.555,1203,1911,23049,66,1,,3,t0:Nok;t1:NX,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c08_add_feature__medium,haiku-scratch,0,0,0.007466,3.660,5096,474,0,,,,,,,
c08_add_feature__medium,haiku-scratch,1,0,0.007466,3.804,5096,474,0,,,,,,,
c08_add_feature__medium,haiku-scratch,2,0,0.007466,3.603,5096,474,0,,,,,,,
c08_add_feature__medium,sonnet-scratch,0,0,0.021279,6.473,5093,400,0,,,,,,,
c08_add_feature__medium,sonnet-scratch,1,0,0.024857,5.828,3,384,0,,,,,,,
c08_add_feature__medium,sonnet-scratch,2,0,0.024902,6.600,3,387,0,,,,,,,
c08_add_feature__medium,opus-scratch,0,1,0.049857,7.555,4914,713,0,,,,,,,
c08_add_feature__medium,opus-scratch,1,1,0.048807,7.152,2,700,1194,,,,,,,
c08_add_feature__medium,opus-scratch,2,1,0.048907,7.332,2,704,1194,,,,,,,
c08_add_feature__medium,cascade-2-diff,0,1,0.056968,8.611,668,854,0,397,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c08_add_feature__medium,cascade-2-diff,1,1,0.017535,9.040,344,835,10641,378,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c08_add_feature__medium,cascade-2-diff,2,1,0.017860,8.156,344,848,10641,391,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c08_add_feature__medium,cascade-2-rewrite,0,1,0.057656,10.744,663,1183,4744,726,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c08_add_feature__medium,cascade-2-rewrite,1,1,0.025825,11.462,693,1214,10312,720,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c08_add_feature__medium,cascade-2-rewrite,2,1,0.026064,11.772,344,1184,10312,727,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c08_add_feature__medium,cascade-3-diff,0,1,0.036197,12.103,1528,965,10641,22,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c08_add_feature__medium,cascade-3-diff,1,1,0.021453,12.341,347,971,15292,22,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c08_add_feature__medium,cascade-3-diff,2,1,0.021363,11.749,347,965,15292,22,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c08_add_feature__medium,cascade-3-rewrite,0,1,0.037319,15.023,1519,1118,10312,22,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c08_add_feature__medium,cascade-3-rewrite,1,1,0.023324,17.281,347,1115,14704,22,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c08_add_feature__medium,cascade-3-rewrite,2,1,0.023519,15.126,347,1122,14704,31,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c08_add_feature__medium,cascade-2-diff-gated,0,1,0.024935,14.107,538,1184,10641,390,1,,2,t0:Nok,claude-haiku-4-5|claude-opus-4-8,
c08_add_feature__medium,cascade-2-diff-gated,1,1,0.019797,12.802,538,1169,14818,377,1,,2,t0:Nok,claude-haiku-4-5|claude-opus-4-8,
c08_add_feature__medium,cascade-2-diff-gated,2,1,0.019917,12.552,538,1113,14818,397,1,,2,t0:Nok,claude-haiku-4-5|claude-opus-4-8,
c08_add_feature__medium,cascade-2-rewrite-gated,0,1,0.027726,14.296,538,1434,14489,717,1,,2,t0:Nok,claude-haiku-4-5|claude-opus-4-8,
c08_add_feature__medium,cascade-2-rewrite-gated,1,1,0.028621,15.704,538,1541,14489,735,1,,2,t0:Nok,claude-haiku-4-5|claude-opus-4-8,
c08_add_feature__medium,cascade-2-rewrite-gated,2,1,0.027846,15.042,538,1438,14489,722,1,,2,t0:Nok,claude-haiku-4-5|claude-opus-4-8,
c08_add_feature__medium,cascade-3-diff-gated,0,1,0.025185,18.425,1371,1491,23646,240,2,,3,t0:Nok;t1:Nok,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c08_add_feature__medium,cascade-3-diff-gated,1,1,0.019089,18.581,1009,1693,17749,492,1,1,2,t0:Nok;t1:Cok,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c08_add_feature__medium,cascade-3-diff-gated,2,1,0.025887,21.400,874,1487,23646,245,2,,3,t0:Nok;t1:Nok,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
