task_id,condition,n,pass_rate,mean_cost_usd,mean_latency_s,gate_n,gate_accuracy,early_stop_rate
c06_extract_function__medium,haiku-scratch,3,0.667,0.009584,5.561,0,,0.000
c06_extract_function__medium,sonnet-scratch,3,1.000,0.035532,15.687,0,,0.000
c06_extract_function__medium,opus-scratch,3,1.000,0.058271,11.658,0,,0.000
c06_extract_function__medium,cascade-2-diff,3,1.000,0.042912,12.500,0,,0.000
c06_extract_function__medium,cascade-2-rewrite,3,1.000,0.034814,10.994,0,,0.000
c06_extract_function__medium,cascade-3-diff,3,1.000,0.031308,14.864,0,,0.000
c06_extract_function__medium,cascade-3-rewrite,3,1.000,0.028631,14.682,0,,0.000
c06_extract_function__medium,cascade-2-diff-gated,3,1.000,0.033113,17.021,3,1.000,0.000
c06_extract_function__medium,cascade-2-rewrite-gated,3,1.000,0.026823,15.887,3,1.000,0.000
c06_extract_function__medium,cascade-3-diff-gated,3,1.000,0.033074,25.734,6,0.500,0.000
c06_extract_function__medium,cascade-3-rewrite-gated,3,1.000,0.030007,24.836,6,0.500,0.000
c08_add_feature__medium,haiku-scratch,3,0.000,0.007466,3.689,0,,0.000
c08_add_feature__medium,sonnet-scratch,3,0.000,0.023679,6.300,0,,0.000
c08_add_feature__medium,opus-scratch,3,1.000,0.049191,7.346,0,,0.000
c08_add_feature__medium,cascade-2-diff,3,1.000,0.030788,8.602,0,,0.000
c08_add_feature__medium,cascade-2-rewrite,3,1.000,0.036515,11.326,0,,0.000
c08_add_feature__medium,cascade-3-diff,3,1.000,0.026338,12.064,0,,0.000
c08_add_feature__medium,cascade-3-rewrite,3,1.000,0.028054,15.810,0,,0.000
c08_add_feature__medium,cascade-2-diff-gated,3,1.000,0.021549,13.153,3,1.000,0.000
c08_add_feature__medium,cascade-2-rewrite-gated,3,1.000,0.028064,15.014,3,1.000,0.000
c08_add_feature__medium,cascade-3-diff-gated,3,1.000,0.023387,19.469,6,1.000,0.333
c08_add_feature__medium,cascade-3-rewrite-gated,3,1.000,0.021253,21.573,6,1.000,1.000
