task_id,condition,passed,cost_usd,latency_s,input_tokens,output_tokens,cache_read_tokens,top_tier_output_tokens,first_passing_tier,stopped_early_at_tier,tiers_run,gate_decisions,tiers,error
c06_extract_function__medium,haiku-scratch,1,0.010356,6.221,5091,1053,0,,,,,,,
c06_extract_function__medium,sonnet-scratch,1,0.033099,14.152,5088,1189,0,,,,,,,
c06_extract_function__medium,opus-scratch,1,0.057637,10.178,4925,1022,0,,,,,,,
c06_extract_function__medium,patch-cascade-2,1,0.067736,11.941,720,1327,0,801,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c06_extract_function__medium,patch-cascade-3,1,0.040837,14.736,1805,1206,10647,63,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c06_extract_function__medium,patch-cascade-2-gated,1,0.033753,14.218,4572,1467,10647,803,1,,2,t0:Nok,claude-haiku-4-5|claude-opus-4-8,
c06_extract_function__medium,patch-cascade-3-gated,1,0.026409,16.630,9203,1411,9385,617,1,1,2,t0:Nok;t1:Cok,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c08_add_feature__medium,haiku-scratch,0,0.007606,4.029,5096,502,0,,,,,,,
c08_add_feature__medium,sonnet-scratch,0,0.021084,5.830,5093,387,0,,,,,,,
c08_add_feature__medium,opus-scratch,1,0.042717,7.079,4914,702,1194,,,,,,,
c08_add_feature__medium,patch-cascade-2,1,0.056713,8.252,668,851,0,385,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c08_add_feature__medium,patch-cascade-3,1,0.037337,10.585,1373,924,10641,275,2,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c08_add_feature__medium,patch-cascade-2-gated,0,0.008126,5.801,4542,622,4744,466,,0,1,t0:CX,claude-haiku-4-5|claude-opus-4-8,
c08_add_feature__medium,patch-cascade-3-gated,0,0.008081,5.443,4542,613,4744,457,,0,1,t0:CX,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
