task_id,condition,rep,passed,cost_usd,latency_s,input_tokens,output_tokens,cache_read_tokens,top_tier_output_tokens,first_passing_tier,stopped_early_at_tier,tiers_run,gate_decisions,tiers,error
c06_extract_function__large,haiku-scratch,0,0,0.020057,7.894,14157,1180,0,,,,,,,
c06_extract_function__large,haiku-scratch,1,0,0.020052,7.871,14157,1179,0,,,,,,,
c06_extract_function__large,haiku-scratch,2,0,0.020052,8.090,14157,1179,0,,,,,,,
c06_extract_function__large,sonnet-scratch,0,0,0.061482,16.079,14154,1268,0,,,,,,,
c06_extract_function__large,sonnet-scratch,1,0,0.071450,15.465,3,1225,0,,,,,,,
c06_extract_function__large,sonnet-scratch,2,0,0.072095,16.077,3,1268,0,,,,,,,
c06_extract_function__large,opus-scratch,0,0,0.117167,10.079,16466,1095,0,,,,,,,
c06_extract_function__large,opus-scratch,1,0,0.134857,11.157,2,1254,1194,,,,,,,
c06_extract_function__large,opus-scratch,2,0,0.138082,16.491,2,1383,1194,,,,,,,
c06_extract_function__large,cascade-2-diff,0,1,0.154429,15.196,1279,1882,0,684,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c06_extract_function__large,cascade-2-diff,1,1,0.039341,14.606,344,1856,31254,688,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c06_extract_function__large,cascade-2-diff,2,1,0.039066,15.772,344,1865,31254,672,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c06_extract_function__large,cascade-2-rewrite,0,1,0.165097,24.648,1274,3007,13805,1834,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c06_extract_function__large,cascade-2-rewrite,1,1,0.066945,23.579,344,2988,30925,1795,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c06_extract_function__large,cascade-2-rewrite,2,1,0.067520,24.283,344,3015,30925,1817,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c06_extract_function__large,cascade-3-diff,0,1,0.097040,21.882,2860,2169,31254,399,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c06_extract_function__large,cascade-3-diff,1,1,0.057506,23.168,1514,2386,44966,897,2,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c06_extract_function__large,cascade-3-diff,2,1,0.060491,24.946,1510,2523,44966,1046,2,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c06_extract_function__large,cascade-3-rewrite,0,1,0.144337,42.540,3028,4446,30925,1747,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c06_extract_function__large,cascade-3-rewrite,1,1,0.101421,42.332,347,4427,44378,1783,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c06_extract_function__large,cascade-3-rewrite,2,1,0.106526,52.078,347,4672,44378,1978,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c06_extract_function__large,cascade-2-diff-gated,0,1,0.060568,20.744,1947,2416,31254,807,1,,2,t0:Nok,claude-haiku-4-5|claude-opus-4-8,
c06_extract_function__large,cascade-2-diff-gated,1,1,0.042923,20.028,1012,2266,44492,665,1,,2,t0:Nok,claude-haiku-4-5|claude-opus-4-8,
c06_extract_function__large,cascade-2-diff-gated,2,1,0.044348,24.163,1012,2583,44492,657,1,,2,t0:Nok,claude-haiku-4-5|claude-opus-4-8,
c06_extract_function__large,cascade-2-rewrite-gated,0,1,0.070344,29.250,1942,3514,44163,1792,1,,2,t0:Nok,claude-haiku-4-5|claude-opus-4-8,
c06_extract_function__large,cascade-2-rewrite-gated,1,1,0.071607,29.395,1012,3538,44163,1791,1,,2,t0:Nok,claude-haiku-4-5|claude-opus-4-8,
c06_extract_function__large,cascade-2-rewrite-gated,2,1,0.071222,32.138,1012,3417,44163,1802,1,,2,t0:Nok,claude-haiku-4-5|claude-opus-4-8,
c06_extract_function__large,cascade-3-diff-gated,0,1,0.116115,37.929,4097,3967,57730,909,2,,3,t0:Nok;t1:Nok,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c06_extract_function__large,cascade-3-diff-gated,1,1,0.070295,37.017,3037,3873,71442,990,2,,3,t0:Nok;t1:Nok,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c06_extract_function__large,cascade-3-diff-gated,2,1,0.066815,36.237,3094,3570,71442,860,2,,3,t0:Nok;t1:Nok,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c06_extract_function__large,cascade-3-rewrite-gated,0,1,0.160953,61.360,4991,5965,57401,1967,1,,3,t0:Nok;t1:NX,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c06_extract_function__large,cascade-3-rewrite-gated,1,1,0.112045,56.771,3996,5665,70854,1878,1,,3,t0:Nok;t1:NX,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c06_extract_function__large,cascade-3-rewrite-gated,2,1,0.069874,43.871,4015,3967,70854,157,1,,3,t0:Nok;t1:NX,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c08_add_feature__large,haiku-scratch,0,0,0.017125,4.982,14185,588,0,,,,,,,
c08_add_feature__large,haiku-scratch,1,0,0.017195,4.117,14185,602,0,,,,,,,
c08_add_feature__large,haiku-scratch,2,0,0.017125,4.120,14185,588,0,,,,,,,
c08_add_feature__large,sonnet-scratch,0,0,0.047241,6.002,14182,313,0,,,,,,,
c08_add_feature__large,sonnet-scratch,1,0,0.057875,5.812,3,313,0,,,,,,,
c08_add_feature__large,sonnet-scratch,2,0,0.057875,5.779,3,313,0,,,,,,,
c08_add_feature__large,opus-scratch,0,1,0.120637,11.134,16465,1234,0,,,,,,,
c08_add_feature__large,opus-scratch,1,1,0.134701,11.130,2,1248,1194,,,,,,,
c08_add_feature__large,opus-scratch,2,1,0.133801,11.115,2,1212,1194,,,,,,,
c08_add_feature__large,cascade-2-diff,0,1,0.153838,13.946,632,1505,0,909,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c08_add_feature__large,cascade-2-diff,1,1,0.037889,12.731,344,1502,31281,906,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c08_add_feature__large,cascade-2-diff,2,1,0.037789,13.302,344,1498,31281,902,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c08_add_feature__large,cascade-2-rewrite,0,1,0.145974,16.058,627,1910,13833,1314,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c08_add_feature__large,cascade-2-rewrite,1,1,0.049094,16.374,344,1958,30952,1362,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c08_add_feature__large,cascade-2-rewrite,2,1,0.047844,15.974,344,1908,30952,1312,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c08_add_feature__large,cascade-3-diff,0,1,0.089167,16.392,1592,1521,31281,508,2,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c08_add_feature__large,cascade-3-diff,1,1,0.042139,16.690,1099,1520,45021,510,2,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c08_add_feature__large,cascade-3-diff,2,1,0.040634,15.845,1095,1459,45021,453,2,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c08_add_feature__large,cascade-3-rewrite,0,1,0.098295,19.934,1582,1932,30952,922,2,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
