task_id,condition,n,pass_rate,mean_cost_usd,mean_latency_s,gate_n,gate_accuracy,early_stop_rate
c06_extract_function__large,haiku-scratch,3,0.000,0.020054,7.952,0,,0.000
c06_extract_function__large,sonnet-scratch,3,0.000,0.068342,15.873,0,,0.000
c06_extract_function__large,opus-scratch,3,0.000,0.130035,12.575,0,,0.000
c06_extract_function__large,cascade-2-diff,3,1.000,0.077612,15.191,0,,0.000
c06_extract_function__large,cascade-2-rewrite,3,1.000,0.099854,24.170,0,,0.000
c06_extract_function__large,cascade-3-diff,3,1.000,0.071679,23.332,0,,0.000
c06_extract_function__large,cascade-3-rewrite,3,1.000,0.117428,45.650,0,,0.000
c06_extract_function__large,cascade-2-diff-gated,3,1.000,0.049279,21.645,3,1.000,0.000
c06_extract_function__large,cascade-2-rewrite-gated,3,1.000,0.071058,30.261,3,1.000,0.000
c06_extract_function__large,cascade-3-diff-gated,3,1.000,0.084408,37.061,6,1.000,0.000
c06_extract_function__large,cascade-3-rewrite-gated,3,1.000,0.114291,54.001,6,0.500,0.000
c08_add_feature__large,haiku-scratch,3,0.000,0.017148,4.407,0,,0.000
c08_add_feature__large,sonnet-scratch,3,0.000,0.054331,5.864,0,,0.000
c08_add_feature__large,opus-scratch,3,1.000,0.129713,11.126,0,,0.000
c08_add_feature__large,cascade-2-diff,3,1.000,0.076506,13.326,0,,0.000
c08_add_feature__large,cascade-2-rewrite,3,1.000,0.080970,16.135,0,,0.000
c08_add_feature__large,cascade-3-diff,3,1.000,0.057313,16.309,0,,0.000
c08_add_feature__large,cascade-3-rewrite,3,1.000,0.067633,19.580,0,,0.000
c08_add_feature__large,cascade-2-diff-gated,3,1.000,0.044754,17.312,3,1.000,0.000
c08_add_feature__large,cascade-2-rewrite-gated,3,1.000,0.051043,19.457,3,1.000,0.000
c08_add_feature__large,cascade-3-diff-gated,3,1.000,0.047471,24.010,6,1.000,0.000
c08_add_feature__large,cascade-3-rewrite-gated,3,1.000,0.059377,28.298,6,1.000,0.000
