task_id,condition,rep,passed,cost_usd,latency_s,ttft_s,generate_s,input_tokens,output_tokens,cache_read_tokens,top_tier_output_tokens,changed_file_chars,diff_chars,edit_fraction,draft_failing_tests,first_passing_tier,stopped_early_at_tier,tiers_run,gate_decisions,tiers,error
c01_localized_bug__medium,haiku-scratch,0,1,0.006969,3.387,0.633,2.753,4924,409,0,,,,,,,,,,,
c01_localized_bug__medium,haiku-scratch,1,1,0.006969,3.345,0.607,2.736,4924,409,0,,,,,,,,,,,
c01_localized_bug__medium,haiku-scratch,2,1,0.006969,4.434,1.673,2.759,4924,409,0,,,,,,,,,,,
c01_localized_bug__medium,opus-scratch,0,1,0.036408,3.842,1.397,2.445,4744,209,0,,,,,,,,,,,
c01_localized_bug__medium,opus-scratch,1,1,0.035445,3.487,1.884,1.602,2,208,1194,,,,,,,,,,,
c01_localized_bug__medium,opus-scratch,2,1,0.035445,2.965,1.230,1.734,2,208,1194,,,,,,,,,,,
c01_localized_bug__medium,cascade-2-diff-gated,0,1,0.013987,7.579,1.505,6.074,4512,752,0,387,1647.0,291.0,0.1766848816029144,0,0,0,1,t0:Cok,claude-haiku-4-5|claude-opus-4-8,
c01_localized_bug__medium,cascade-2-diff-gated,1,1,0.008569,7.592,1.583,6.008,4512,720,4572,387,1647.0,291.0,0.1766848816029144,0,0,0,1,t0:Cok,claude-haiku-4-5|claude-opus-4-8,
c01_localized_bug__medium,cascade-2-diff-gated,2,1,0.008664,7.030,1.053,5.976,4512,739,4572,387,1647.0,291.0,0.1766848816029144,0,0,0,1,t0:Cok,claude-haiku-4-5|claude-opus-4-8,
c01_localized_bug__medium,cascade-3-diff-gated,0,1,0.008749,7.527,1.523,6.003,4512,756,4572,391,1647.0,291.0,0.1766848816029144,0,0,0,1,t0:Cok,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c01_localized_bug__medium,cascade-3-diff-gated,1,1,0.008749,7.314,1.091,6.222,4512,756,4572,387,1647.0,291.0,0.1766848816029144,0,0,0,1,t0:Cok,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c01_localized_bug__medium,cascade-3-diff-gated,2,1,0.008754,13.053,1.605,11.448,4512,757,4572,387,1647.0,291.0,0.1766848816029144,0,0,0,1,t0:Cok,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c03_xfile_rename__medium,haiku-scratch,0,0,0.017438,10.569,0.528,10.035,4923,2503,0,,,,,,,,,,,
c03_xfile_rename__medium,haiku-scratch,1,0,0.017438,10.690,0.714,9.969,4923,2503,0,,,,,,,,,,,
c03_xfile_rename__medium,haiku-scratch,2,0,0.008248,3.655,0.519,3.135,4923,665,0,,,,,,,,,,,
c03_xfile_rename__medium,opus-scratch,0,0,0.068597,15.592,1.700,13.889,4725,1775,1194,,,,,,,,,,,
c03_xfile_rename__medium,opus-scratch,1,0,0.072876,15.212,1.572,13.635,2,1710,1194,,,,,,,,,,,
c03_xfile_rename__medium,opus-scratch,2,0,0.069426,14.134,1.564,12.566,2,1572,1194,,,,,,,,,,,
c03_xfile_rename__medium,cascade-2-diff-gated,0,0,0.084361,20.659,4.493,16.165,4825,2287,0,1273,5723.0,2547.0,0.44504630438581166,,,,2,t0:Nok,claude-haiku-4-5|claude-opus-4-8,
