task_id,condition,n,pass_rate,mean_cost_usd,mean_latency_s,mean_ttft_s,mean_generate_s,gate_n,gate_accuracy,early_stop_rate
c01_localized_bug__medium,haiku-scratch,3,1.000,0.006969,3.722,0.971,2.749,0,,0.000
c01_localized_bug__medium,opus-scratch,3,1.000,0.035766,3.432,1.503,1.927,0,,0.000
c01_localized_bug__medium,cascade-2-diff-gated,3,1.000,0.010407,7.400,1.380,6.019,3,1.000,1.000
c01_localized_bug__medium,cascade-3-diff-gated,3,1.000,0.008751,9.298,1.407,7.891,3,1.000,1.000
c03_xfile_rename__medium,haiku-scratch,3,0.000,0.014375,8.305,0.587,7.713,0,,0.000
c03_xfile_rename__medium,opus-scratch,3,0.000,0.070300,14.979,1.612,13.363,0,,0.000
c03_xfile_rename__medium,cascade-2-diff-gated,3,0.333,0.056516,19.815,3.245,16.569,3,1.000,0.000
c03_xfile_rename__medium,cascade-3-diff-gated,3,0.000,0.060527,26.398,5.234,21.162,6,1.000,0.000
c04_signature_change__medium,haiku-scratch,3,0.000,0.007599,3.968,1.046,2.920,0,,0.000
c04_signature_change__medium,opus-scratch,3,0.667,0.044833,6.851,1.394,5.455,0,,0.000
c04_signature_change__medium,cascade-2-diff-gated,3,1.000,0.031301,9.255,2.911,6.344,3,1.000,0.000
c04_signature_change__medium,cascade-3-diff-gated,3,1.000,0.035871,20.278,6.052,14.225,6,0.500,0.000
c08_add_feature__medium,haiku-scratch,3,0.000,0.007529,3.808,0.597,3.210,0,,0.000
c08_add_feature__medium,opus-scratch,3,1.000,0.046985,7.035,1.265,5.767,0,,0.000
c08_add_feature__medium,cascade-2-diff-gated,3,1.000,0.034616,12.021,2.829,9.192,3,1.000,0.000
c08_add_feature__medium,cascade-3-diff-gated,3,1.000,0.031283,19.060,4.949,14.110,6,1.000,0.000
c12_hygiene__medium,haiku-scratch,3,0.000,0.007541,5.107,0.712,4.394,0,,0.000
c12_hygiene__medium,opus-scratch,3,0.667,0.053064,9.300,1.540,7.757,0,,0.000
c12_hygiene__medium,cascade-2-diff-gated,3,1.000,0.048315,15.515,2.592,12.922,3,1.000,0.000
c12_hygiene__medium,cascade-3-diff-gated,3,1.000,0.040337,22.507,5.573,16.932,6,1.000,0.000
c14_config_code__medium,haiku-scratch,3,1.000,0.008967,5.648,0.677,4.968,0,,0.000
c14_config_code__medium,opus-scratch,3,1.000,0.042693,5.826,1.350,4.473,0,,0.000
c14_config_code__medium,cascade-2-diff-gated,3,1.000,0.010756,10.678,1.576,9.102,3,1.000,1.000
c14_config_code__medium,cascade-3-diff-gated,3,1.000,0.007487,10.317,1.276,9.041,3,1.000,1.000
