task_id,condition,rep,passed,cost_usd,latency_s,input_tokens,output_tokens,cache_read_tokens,top_tier_output_tokens,changed_file_chars,diff_chars,edit_fraction,draft_failing_tests,first_passing_tier,stopped_early_at_tier,tiers_run,gate_decisions,tiers,error
c01_localized_bug__large,cascade-2-diff,0,1,0.128567,6.500,643,424,0,51,4831.0,258.0,0.05340509211343407,0,0,,2,,claude-haiku-4-5|claude-opus-4-8,
c01_localized_bug__large,cascade-2-diff,1,1,0.015447,5.496,344,432,30588,59,4831.0,258.0,0.05340509211343407,0,0,,2,,claude-haiku-4-5|claude-opus-4-8,
c01_localized_bug__large,cascade-2-rewrite,0,1,0.110719,5.099,638,368,13519,54,4831.0,258.0,0.05340509211343407,0,0,,2,,claude-haiku-4-5|claude-opus-4-8,
c01_localized_bug__large,cascade-2-rewrite,1,1,0.015281,5.242,344,386,30259,72,4831.0,258.0,0.05340509211343407,0,0,,2,,claude-haiku-4-5|claude-opus-4-8,
c01_localized_bug__large,cascade-3-diff,0,1,0.067673,7.764,850,410,30588,55,4831.0,258.0,0.05340509211343407,0,0,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c01_localized_bug__large,cascade-3-diff,1,1,0.022470,13.973,347,490,44014,76,4831.0,258.0,0.05340509211343407,0,0,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c01_localized_bug__large,cascade-3-rewrite,0,1,0.067379,9.205,846,503,30259,77,4831.0,258.0,0.05340509211343407,0,0,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c01_localized_bug__large,cascade-3-rewrite,1,1,0.021697,7.705,347,473,43426,53,4831.0,258.0,0.05340509211343407,0,0,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c01_localized_bug__medium,cascade-2-diff,0,1,0.046596,6.728,679,432,0,45,1647.0,291.0,0.1766848816029144,0,0,,2,,claude-haiku-4-5|claude-opus-4-8,
c01_localized_bug__medium,cascade-2-diff,1,1,0.008871,4.969,344,437,10299,46,1647.0,291.0,0.1766848816029144,0,0,,2,,claude-haiku-4-5|claude-opus-4-8,
c01_localized_bug__medium,cascade-2-rewrite,0,1,0.039282,4.814,674,433,4572,46,1647.0,291.0,0.1766848816029144,0,0,,2,,claude-haiku-4-5|claude-opus-4-8,
c01_localized_bug__medium,cascade-2-rewrite,1,1,0.009031,5.323,344,448,9970,61,1647.0,291.0,0.1766848816029144,0,0,,2,,claude-haiku-4-5|claude-opus-4-8,
c01_localized_bug__medium,cascade-3-diff,0,1,0.027827,7.750,847,475,10299,50,1647.0,291.0,0.1766848816029144,0,0,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c01_localized_bug__medium,cascade-3-diff,1,1,0.012874,7.407,347,488,14778,47,1647.0,291.0,0.1766848816029144,0,0,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c01_localized_bug__medium,cascade-3-rewrite,0,1,0.026683,7.865,843,474,9970,55,1647.0,291.0,0.1766848816029144,0,0,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c01_localized_bug__medium,cascade-3-rewrite,1,1,0.012271,7.937,347,465,14190,46,1647.0,291.0,0.1766848816029144,0,0,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c02_multi_site__large,cascade-2-diff,0,1,0.132190,6.763,863,726,0,92,4716.0,621.0,0.1316793893129771,0,0,,2,,claude-haiku-4-5|claude-opus-4-8,
c02_multi_site__large,cascade-2-diff,1,1,0.019173,7.362,344,735,30638,100,4716.0,621.0,0.1316793893129771,0,0,,2,,claude-haiku-4-5|claude-opus-4-8,
c02_multi_site__large,cascade-2-rewrite,0,1,0.114639,7.656,858,731,13543,96,4716.0,621.0,0.1316793893129771,0,0,,2,,claude-haiku-4-5|claude-opus-4-8,
c02_multi_site__large,cascade-2-rewrite,1,1,0.018927,6.537,344,733,30309,98,4716.0,621.0,0.1316793893129771,0,0,,2,,claude-haiku-4-5|claude-opus-4-8,
c02_multi_site__large,cascade-3-diff,0,1,0.072189,9.346,1017,785,30638,81,4716.0,621.0,0.1316793893129771,0,0,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c02_multi_site__large,cascade-3-diff,1,1,0.026489,11.887,347,793,44088,89,4716.0,621.0,0.1316793893129771,0,0,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c02_multi_site__large,cascade-3-rewrite,0,1,0.071895,11.392,1013,840,30309,87,4716.0,621.0,0.1316793893129771,0,0,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c02_multi_site__large,cascade-3-rewrite,1,1,0.027086,10.395,347,846,43500,98,4716.0,621.0,0.1316793893129771,0,0,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c02_multi_site__medium,cascade-2-diff,0,1,0.049372,6.416,914,732,0,44,1373.0,929.0,0.6766205389657683,0,0,,2,,claude-haiku-4-5|claude-opus-4-8,
c02_multi_site__medium,cascade-2-diff,1,1,0.011975,6.103,344,726,10344,55,1373.0,929.0,0.6766205389657683,0,0,,2,,claude-haiku-4-5|claude-opus-4-8,
c02_multi_site__medium,cascade-2-rewrite,0,1,0.042261,7.381,909,729,4604,58,1373.0,929.0,0.6766205389657683,0,0,,2,,claude-haiku-4-5|claude-opus-4-8,
c02_multi_site__medium,cascade-2-rewrite,1,1,0.011589,6.184,344,732,10015,44,1373.0,929.0,0.6766205389657683,0,0,,2,,claude-haiku-4-5|claude-opus-4-8,
c02_multi_site__medium,cascade-3-diff,0,1,0.031786,8.839,1069,792,10344,45,1373.0,929.0,0.6766205389657683,0,0,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c02_multi_site__medium,cascade-3-diff,1,1,0.016730,9.689,347,777,14855,47,1373.0,929.0,0.6766205389657683,0,0,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c02_multi_site__medium,cascade-3-rewrite,0,1,0.030442,9.249,1065,781,10015,45,1373.0,929.0,0.6766205389657683,0,0,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c02_multi_site__medium,cascade-3-rewrite,1,1,0.016391,9.688,347,775,14267,45,1373.0,929.0,0.6766205389657683,0,0,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c04_signature_change__large,cascade-2-diff,0,1,0.133137,7.808,661,615,0,183,3488.0,685.0,0.1963876146788991,1,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c04_signature_change__large,cascade-2-diff,1,1,0.019245,6.749,344,619,30796,193,3488.0,685.0,0.1963876146788991,1,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c04_signature_change__large,cascade-2-rewrite,0,1,0.130863,12.258,656,1229,13602,802,3488.0,685.0,0.1963876146788991,1,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c04_signature_change__large,cascade-2-rewrite,1,1,0.034555,12.053,344,1240,30467,813,3488.0,685.0,0.1963876146788991,1,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c04_signature_change__large,cascade-3-diff,0,1,0.071930,28.278,1337,693,30796,89,3488.0,685.0,0.1963876146788991,1,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c04_signature_change__large,cascade-3-diff,1,1,0.026348,10.784,347,695,44305,90,3488.0,685.0,0.1963876146788991,1,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c04_signature_change__large,cascade-3-rewrite,0,1,0.078177,16.620,1328,1185,30467,93,3488.0,685.0,0.1963876146788991,1,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c04_signature_change__large,cascade-3-rewrite,1,1,0.033515,16.896,347,1190,43717,93,3488.0,685.0,0.1963876146788991,1,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c04_signature_change__medium,cascade-2-diff,0,1,0.051432,5.876,807,606,0,193,1780.0,942.0,0.5292134831460674,1,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c04_signature_change__medium,cascade-2-diff,1,1,0.013456,6.756,344,652,10388,180,1780.0,942.0,0.5292134831460674,1,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c04_signature_change__medium,cascade-2-rewrite,0,1,0.061374,11.632,802,1299,4610,886,1780.0,942.0,0.5292134831460674,1,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c04_signature_change__medium,cascade-2-rewrite,1,1,0.030565,11.801,344,1297,10059,884,1780.0,942.0,0.5292134831460674,1,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c04_signature_change__medium,cascade-3-diff,0,1,0.032744,9.320,1538,751,10388,25,1780.0,942.0,0.5292134831460674,1,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c04_signature_change__medium,cascade-3-diff,1,1,0.017502,9.669,347,696,14905,24,1780.0,942.0,0.5292134831460674,1,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c04_signature_change__medium,cascade-3-rewrite,0,1,0.037001,14.490,1529,1113,10059,25,1780.0,942.0,0.5292134831460674,1,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c04_signature_change__medium,cascade-3-rewrite,1,1,0.023479,15.350,347,1113,14317,25,1780.0,942.0,0.5292134831460674,1,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c06_extract_function__large,cascade-2-diff,0,1,0.156344,15.438,1279,1913,0,772,5783.0,3235.0,0.5593982362095798,3,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c06_extract_function__large,cascade-2-diff,1,1,0.038416,14.614,344,1839,31254,646,5719.0,2965.0,0.5184472809931806,3,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c06_extract_function__large,cascade-2-rewrite,0,1,0.164573,23.971,1274,3002,13805,1809,5845.0,3522.0,0.6025662959794696,3,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c06_extract_function__large,cascade-2-rewrite,1,1,0.067115,24.937,344,2994,30925,1802,5813.0,3490.0,0.6003784620677791,3,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c06_extract_function__large,cascade-3-diff,0,1,0.090510,19.451,2794,1895,31254,189,5627.0,2930.0,0.5207037497778567,3,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c06_extract_function__large,cascade-3-diff,1,1,0.045236,20.057,1849,1955,44966,199,5707.0,3016.0,0.5284738041002278,3,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c06_extract_function__large,cascade-3-rewrite,0,1,0.147612,43.879,3028,4577,30925,1878,5840.0,3587.0,0.6142123287671233,3,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c06_extract_function__large,cascade-3-rewrite,1,0,0.065354,34.727,2028,3133,44378,380,5763.0,3500.0,0.6073225750477182,3,,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c06_extract_function__medium,cascade-2-diff,0,1,0.069411,12.529,720,1394,0,868,1420.0,1833.0,1.2908450704225352,1,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c06_extract_function__medium,cascade-2-diff,1,1,0.028930,12.572,344,1336,10647,806,1420.0,1833.0,1.2908450704225352,1,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c06_extract_function__medium,cascade-2-rewrite,0,1,0.056155,11.378,715,1165,4739,639,1420.0,1833.0,1.2908450704225352,1,1,,2,,claude-haiku-4-5|claude-opus-4-8,
