task_id,condition,n,pass_rate,mean_cost_usd,mean_latency_s,gate_n,gate_accuracy,early_stop_rate
c01_localized_bug__large,cascade-2-diff,2,1.000,0.072007,5.998,0,,0.000
c01_localized_bug__large,cascade-2-rewrite,2,1.000,0.063000,5.171,0,,0.000
c01_localized_bug__large,cascade-3-diff,2,1.000,0.045071,10.869,0,,0.000
c01_localized_bug__large,cascade-3-rewrite,2,1.000,0.044538,8.455,0,,0.000
c01_localized_bug__medium,cascade-2-diff,2,1.000,0.027734,5.849,0,,0.000
c01_localized_bug__medium,cascade-2-rewrite,2,1.000,0.024156,5.069,0,,0.000
c01_localized_bug__medium,cascade-3-diff,2,1.000,0.020350,7.578,0,,0.000
c01_localized_bug__medium,cascade-3-rewrite,2,1.000,0.019477,7.901,0,,0.000
c02_multi_site__large,cascade-2-diff,2,1.000,0.075681,7.062,0,,0.000
c02_multi_site__large,cascade-2-rewrite,2,1.000,0.066783,7.096,0,,0.000
c02_multi_site__large,cascade-3-diff,2,1.000,0.049339,10.617,0,,0.000
c02_multi_site__large,cascade-3-rewrite,2,1.000,0.049490,10.894,0,,0.000
c02_multi_site__medium,cascade-2-diff,2,1.000,0.030673,6.260,0,,0.000
c02_multi_site__medium,cascade-2-rewrite,2,1.000,0.026925,6.783,0,,0.000
c02_multi_site__medium,cascade-3-diff,2,1.000,0.024258,9.264,0,,0.000
c02_multi_site__medium,cascade-3-rewrite,2,1.000,0.023417,9.468,0,,0.000
c04_signature_change__large,cascade-2-diff,2,1.000,0.076191,7.279,0,,0.000
c04_signature_change__large,cascade-2-rewrite,2,1.000,0.082709,12.156,0,,0.000
c04_signature_change__large,cascade-3-diff,2,1.000,0.049139,19.531,0,,0.000
c04_signature_change__large,cascade-3-rewrite,2,1.000,0.055846,16.758,0,,0.000
c04_signature_change__medium,cascade-2-diff,2,1.000,0.032444,6.316,0,,0.000
c04_signature_change__medium,cascade-2-rewrite,2,1.000,0.045970,11.716,0,,0.000
c04_signature_change__medium,cascade-3-diff,2,1.000,0.025123,9.494,0,,0.000
c04_signature_change__medium,cascade-3-rewrite,2,1.000,0.030240,14.920,0,,0.000
c06_extract_function__large,cascade-2-diff,2,1.000,0.097380,15.026,0,,0.000
c06_extract_function__large,cascade-2-rewrite,2,1.000,0.115844,24.454,0,,0.000
c06_extract_function__large,cascade-3-diff,2,1.000,0.067873,19.754,0,,0.000
c06_extract_function__large,cascade-3-rewrite,2,0.500,0.106483,39.303,0,,0.000
c06_extract_function__medium,cascade-2-diff,2,1.000,0.049170,12.550,0,,0.000
c06_extract_function__medium,cascade-2-rewrite,2,1.000,0.040382,12.913,0,,0.000
c06_extract_function__medium,cascade-3-diff,2,1.000,0.033951,14.631,0,,0.000
c06_extract_function__medium,cascade-3-rewrite,2,1.000,0.030951,14.189,0,,0.000
c08_add_feature__large,cascade-2-diff,2,1.000,0.095276,16.347,0,,0.000
c08_add_feature__large,cascade-2-rewrite,2,1.000,0.097596,16.353,0,,0.000
c08_add_feature__large,cascade-3-diff,2,1.000,0.065343,16.499,0,,0.000
c08_add_feature__large,cascade-3-rewrite,2,1.000,0.075711,21.307,0,,0.000
c08_add_feature__medium,cascade-2-diff,2,1.000,0.037087,8.368,0,,0.000
c08_add_feature__medium,cascade-2-rewrite,2,1.000,0.041798,13.079,0,,0.000
c08_add_feature__medium,cascade-3-diff,2,1.000,0.029050,12.658,0,,0.000
c08_add_feature__medium,cascade-3-rewrite,2,1.000,0.030434,15.018,0,,0.000
c11_type_changes__large,cascade-2-diff,2,1.000,0.106563,16.810,0,,0.000
c11_type_changes__large,cascade-2-rewrite,2,1.000,0.104073,18.895,0,,0.000
c11_type_changes__large,cascade-3-diff,2,1.000,0.078694,21.330,0,,0.000
c11_type_changes__large,cascade-3-rewrite,2,1.000,0.070984,25.283,0,,0.000
c11_type_changes__medium,cascade-2-diff,2,1.000,0.039160,9.855,0,,0.000
c11_type_changes__medium,cascade-2-rewrite,2,1.000,0.033662,8.643,0,,0.000
c11_type_changes__medium,cascade-3-diff,2,1.000,0.027962,12.756,0,,0.000
c11_type_changes__medium,cascade-3-rewrite,2,1.000,0.026321,11.213,0,,0.000
c12_hygiene__large,cascade-2-diff,2,1.000,0.089807,10.998,0,,0.000
c12_hygiene__large,cascade-2-rewrite,2,1.000,0.084971,12.728,0,,0.000
c12_hygiene__large,cascade-3-diff,2,1.000,0.068535,24.328,0,,0.000
c12_hygiene__large,cascade-3-rewrite,2,1.000,0.058417,16.702,0,,0.000
c12_hygiene__medium,cascade-2-diff,2,1.000,0.050191,13.316,0,,0.000
c12_hygiene__medium,cascade-2-rewrite,2,1.000,0.041078,10.534,0,,0.000
c12_hygiene__medium,cascade-3-diff,2,1.000,0.039397,14.773,0,,0.000
c12_hygiene__medium,cascade-3-rewrite,2,1.000,0.030629,14.072,0,,0.000
c14_config_code__large,cascade-2-diff,2,1.000,0.092424,14.107,0,,0.000
c14_config_code__large,cascade-2-rewrite,2,1.000,0.112133,23.101,0,,0.000
c14_config_code__large,cascade-3-diff,2,1.000,0.065606,17.661,0,,0.000
c14_config_code__large,cascade-3-rewrite,2,1.000,0.113944,34.783,0,,0.000
c14_config_code__medium,cascade-2-diff,2,1.000,0.032940,8.019,0,,0.000
c14_config_code__medium,cascade-2-rewrite,2,1.000,0.029033,8.019,0,,0.000
c14_config_code__medium,cascade-3-diff,2,1.000,0.027074,12.619,0,,0.000
c14_config_code__medium,cascade-3-rewrite,2,1.000,0.026583,13.783,0,,0.000
