model,condition,task_id,n,n_passed,pass_rate,turns_p25,turns_p50,turns_p75,tool_calls_p25,tool_calls_p50,tool_calls_p75,cost_p25,cost_p50,cost_p75,latency_p25,latency_p50,latency_p75,tokens_p25,tokens_p50,tokens_p75
claude-haiku-4-5,one-shot,astropy__astropy-12907,1,1,1.000,1.00,1.00,1.00,0.00,0.00,0.00,0.003667,0.003667,0.003667,4.172,4.172,4.172,1271,1271,1271
claude-haiku-4-5,one-shot,astropy__astropy-14182,1,1,1.000,1.00,1.00,1.00,0.00,0.00,0.00,0.004394,0.004394,0.004394,4.812,4.812,4.812,1618,1618,1618
claude-haiku-4-5,one-shot,astropy__astropy-14365,1,1,1.000,1.00,1.00,1.00,0.00,0.00,0.00,0.004975,0.004975,0.004975,5.210,5.210,5.210,1643,1643,1643
claude-haiku-4-5,one-shot,astropy__astropy-14995,1,0,0.000,1.00,1.00,1.00,0.00,0.00,0.00,0.016927,0.016927,0.016927,21.605,21.605,21.605,4295,4295,4295
claude-haiku-4-5,one-shot,astropy__astropy-6938,1,1,1.000,1.00,1.00,1.00,0.00,0.00,0.00,0.003784,0.003784,0.003784,4.696,4.696,4.696,1112,1112,1112
claude-haiku-4-5,turn-loop,astropy__astropy-12907,1,1,1.000,10.00,10.00,10.00,11.00,11.00,11.00,0.059545,0.059545,0.059545,17.103,17.103,17.103,26124,26124,26124
claude-haiku-4-5,turn-loop,astropy__astropy-14182,1,1,1.000,6.00,6.00,6.00,8.00,8.00,8.00,0.035677,0.035677,0.035677,10.640,10.640,10.640,16788,16788,16788
claude-haiku-4-5,turn-loop,astropy__astropy-14365,1,1,1.000,7.00,7.00,7.00,8.00,8.00,8.00,0.054060,0.054060,0.054060,14.035,14.035,14.035,24044,24044,24044
claude-haiku-4-5,turn-loop,astropy__astropy-14995,1,1,1.000,6.00,6.00,6.00,8.00,8.00,8.00,0.039828,0.039828,0.039828,12.121,12.121,12.121,16701,16701,16701
claude-haiku-4-5,turn-loop,astropy__astropy-6938,1,1,1.000,5.00,5.00,5.00,7.00,7.00,7.00,0.031234,0.031234,0.031234,8.686,8.686,8.686,13918,13918,13918
claude-haiku-4-5,turn-loop-schema,astropy__astropy-12907,1,1,1.000,15.00,15.00,15.00,15.00,15.00,15.00,0.072206,0.072206,0.072206,20.930,20.930,20.930,33812,33812,33812
claude-haiku-4-5,turn-loop-schema,astropy__astropy-14182,1,1,1.000,12.00,12.00,12.00,12.00,12.00,12.00,0.058828,0.058828,0.058828,14.266,14.266,14.266,30318,30318,30318
claude-haiku-4-5,turn-loop-schema,astropy__astropy-14365,1,1,1.000,15.00,15.00,15.00,15.00,15.00,15.00,0.075490,0.075490,0.075490,21.634,21.634,21.634,35037,35037,35037
claude-haiku-4-5,turn-loop-schema,astropy__astropy-14995,1,1,1.000,15.00,15.00,15.00,15.00,15.00,15.00,0.076738,0.076738,0.076738,19.377,19.377,19.377,36497,36497,36497
claude-haiku-4-5,turn-loop-schema,astropy__astropy-6938,1,1,1.000,15.00,15.00,15.00,15.00,15.00,15.00,0.058157,0.058157,0.058157,18.277,18.277,18.277,27140,27140,27140
claude-haiku-4-5,turn-loop-structured,astropy__astropy-12907,1,1,1.000,6.00,6.00,6.00,6.00,6.00,6.00,0.049829,0.049829,0.049829,22.411,22.411,22.411,22285,22285,22285
claude-haiku-4-5,turn-loop-structured,astropy__astropy-14182,1,1,1.000,2.00,2.00,2.00,2.00,2.00,2.00,0.008897,0.008897,0.008897,7.795,7.795,7.795,4913,4913,4913
claude-haiku-4-5,turn-loop-structured,astropy__astropy-14365,1,1,1.000,2.00,2.00,2.00,2.00,2.00,2.00,0.009384,0.009384,0.009384,7.872,7.872,7.872,4864,4864,4864
claude-haiku-4-5,turn-loop-structured,astropy__astropy-14995,1,0,0.000,2.00,2.00,2.00,2.00,2.00,2.00,0.009884,0.009884,0.009884,7.431,7.431,7.431,5516,5516,5516
claude-haiku-4-5,turn-loop-structured,astropy__astropy-6938,1,1,1.000,2.00,2.00,2.00,2.00,2.00,2.00,0.011730,0.011730,0.011730,10.884,10.884,10.884,4958,4958,4958
claude-sonnet-4-6,one-shot,astropy__astropy-12907,1,1,1.000,1.00,1.00,1.00,0.00,0.00,0.00,0.002229,0.002229,0.002229,1.399,1.399,1.399,687,687,687
claude-sonnet-4-6,one-shot,astropy__astropy-14182,1,1,1.000,1.00,1.00,1.00,0.00,0.00,0.00,0.003000,0.003000,0.003000,1.771,1.771,1.771,940,940,940
claude-sonnet-4-6,one-shot,astropy__astropy-14365,1,1,1.000,1.00,1.00,1.00,0.00,0.00,0.00,0.002688,0.002688,0.002688,1.629,1.629,1.629,828,828,828
claude-sonnet-4-6,one-shot,astropy__astropy-14995,1,1,1.000,1.00,1.00,1.00,0.00,0.00,0.00,0.003714,0.003714,0.003714,4.524,4.524,4.524,1158,1158,1158
claude-sonnet-4-6,one-shot,astropy__astropy-6938,1,1,1.000,1.00,1.00,1.00,0.00,0.00,0.00,0.001605,0.001605,0.001605,1.609,1.609,1.609,463,463,463
claude-sonnet-4-6,turn-loop,astropy__astropy-12907,1,1,1.000,5.00,5.00,5.00,6.00,6.00,6.00,0.072129,0.072129,0.072129,15.320,15.320,15.320,12440,12440,12440
claude-sonnet-4-6,turn-loop,astropy__astropy-14182,1,1,1.000,4.00,4.00,4.00,5.00,5.00,5.00,0.041306,0.041306,0.041306,11.537,11.537,11.537,5996,5996,5996
claude-sonnet-4-6,turn-loop,astropy__astropy-14365,1,1,1.000,5.00,5.00,5.00,5.00,5.00,5.00,0.047432,0.047432,0.047432,14.837,14.837,14.837,6501,6501,6501
claude-sonnet-4-6,turn-loop,astropy__astropy-14995,1,1,1.000,3.00,3.00,3.00,4.00,4.00,4.00,0.037528,0.037528,0.037528,8.724,8.724,8.724,5268,5268,5268
claude-sonnet-4-6,turn-loop,astropy__astropy-6938,1,1,1.000,3.00,3.00,3.00,3.00,3.00,3.00,0.021943,0.021943,0.021943,7.423,7.423,7.423,2455,2455,2455
claude-sonnet-4-6,turn-loop-schema,astropy__astropy-12907,1,0,0.000,14.00,14.00,14.00,14.00,14.00,14.00,0.086227,0.086227,0.086227,36.284,36.284,36.284,10305,10305,10305
claude-sonnet-4-6,turn-loop-schema,astropy__astropy-14182,1,1,1.000,4.00,4.00,4.00,5.00,5.00,5.00,0.040460,0.040460,0.040460,8.104,8.104,8.104,5918,5918,5918
claude-sonnet-4-6,turn-loop-schema,astropy__astropy-14365,1,1,1.000,3.00,3.00,3.00,3.00,3.00,3.00,0.027798,0.027798,0.027798,6.129,6.129,6.129,3711,3711,3711
claude-sonnet-4-6,turn-loop-schema,astropy__astropy-14995,1,1,1.000,3.00,3.00,3.00,4.00,4.00,4.00,0.035560,0.035560,0.035560,6.207,6.207,6.207,5050,5050,5050
claude-sonnet-4-6,turn-loop-schema,astropy__astropy-6938,1,1,1.000,2.00,2.00,2.00,2.00,2.00,2.00,0.012501,0.012501,0.012501,3.759,3.759,3.759,1721,1721,1721
claude-sonnet-4-6,turn-loop-structured,astropy__astropy-12907,1,1,1.000,4.00,4.00,4.00,4.00,4.00,4.00,0.028031,0.028031,0.028031,10.937,10.937,10.937,3963,3963,3963
claude-sonnet-4-6,turn-loop-structured,astropy__astropy-14182,1,1,1.000,4.00,4.00,4.00,4.00,4.00,4.00,0.030999,0.030999,0.030999,12.331,12.331,12.331,4503,4503,4503
claude-sonnet-4-6,turn-loop-structured,astropy__astropy-14365,1,1,1.000,1.00,1.00,1.00,1.00,1.00,1.00,0.015312,0.015312,0.015312,10.983,10.983,10.983,2112,2112,2112
claude-sonnet-4-6,turn-loop-structured,astropy__astropy-14995,1,1,1.000,4.00,4.00,4.00,4.00,4.00,4.00,0.049791,0.049791,0.049791,17.826,17.826,17.826,5671,5671,5671
claude-sonnet-4-6,turn-loop-structured,astropy__astropy-6938,1,1,1.000,2.00,2.00,2.00,2.00,2.00,2.00,0.008391,0.008391,0.008391,4.798,4.798,4.798,2285,2285,2285
