task_id,model,condition,replicate,passed,turns,tool_calls,invalid_tool_calls,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,cost_usd,latency_seconds,error
astropy__astropy-12907,claude-haiku-4-5,one-shot,0,1,1,0,0,672,599,0,0,0.003667,4.172,
astropy__astropy-12907,claude-haiku-4-5,turn-loop,0,1,10,11,0,24787,1337,57072,17893,0.059545,17.103,
astropy__astropy-12907,claude-haiku-4-5,turn-loop-schema,0,1,15,15,1,32874,938,100578,19667,0.072206,20.930,
astropy__astropy-12907,claude-haiku-4-5,turn-loop-structured,0,1,6,6,48,19022,3263,0,11594,0.049829,22.411,
astropy__astropy-12907,claude-sonnet-4-6,one-shot,0,1,1,0,0,673,14,0,0,0.002229,1.399,
astropy__astropy-12907,claude-sonnet-4-6,turn-loop,0,1,5,6,0,11889,551,4440,7164,0.072129,15.320,
astropy__astropy-12907,claude-sonnet-4-6,turn-loop-schema,0,0,14,14,0,9326,979,37452,8621,0.086227,36.284,"aborted: 4 turns without trying a new (tool, args) signature"
astropy__astropy-12907,claude-sonnet-4-6,turn-loop-structured,0,1,4,4,0,3575,388,1224,2965,0.028031,10.937,
astropy__astropy-14182,claude-haiku-4-5,one-shot,0,1,1,0,0,924,694,0,0,0.004394,4.812,
astropy__astropy-14182,claude-haiku-4-5,turn-loop,0,1,6,8,1,15967,821,5892,12013,0.035677,10.640,
astropy__astropy-14182,claude-haiku-4-5,turn-loop-schema,0,1,12,12,0,29605,713,50510,16486,0.058828,14.266,
astropy__astropy-14182,claude-haiku-4-5,turn-loop-structured,0,1,2,2,6,3917,996,0,0,0.008897,7.795,
astropy__astropy-14182,claude-sonnet-4-6,one-shot,0,1,1,0,0,925,15,0,0,0.003000,1.771,
astropy__astropy-14182,claude-sonnet-4-6,turn-loop,0,1,4,5,0,5504,492,2010,4483,0.041306,11.537,
astropy__astropy-14182,claude-sonnet-4-6,turn-loop-schema,0,1,4,5,0,5622,296,2158,4935,0.040460,8.104,
astropy__astropy-14182,claude-sonnet-4-6,turn-loop-structured,0,1,4,4,0,4118,385,1476,3314,0.030999,12.331,
astropy__astropy-14365,claude-haiku-4-5,one-shot,0,1,1,0,0,810,833,0,0,0.004975,5.210,
astropy__astropy-14365,claude-haiku-4-5,turn-loop,0,1,7,8,0,22943,1101,18359,19021,0.054060,14.035,
astropy__astropy-14365,claude-haiku-4-5,turn-loop-schema,0,1,15,15,0,34008,1029,107491,20470,0.075490,21.634,
astropy__astropy-14365,claude-haiku-4-5,turn-loop-structured,0,1,2,2,12,3734,1130,0,0,0.009384,7.872,
astropy__astropy-14365,claude-sonnet-4-6,one-shot,0,1,1,0,0,811,17,0,0,0.002688,1.629,
astropy__astropy-14365,claude-sonnet-4-6,turn-loop,0,1,5,5,0,5978,523,3803,5470,0.047432,14.837,
astropy__astropy-14365,claude-sonnet-4-6,turn-loop-schema,0,1,3,3,0,3546,165,0,3916,0.027798,6.129,
astropy__astropy-14365,claude-sonnet-4-6,turn-loop-structured,0,1,1,1,0,1364,748,0,0,0.015312,10.983,
astropy__astropy-14995,claude-haiku-4-5,one-shot,0,0,1,0,0,1137,3158,0,0,0.016927,21.605,
astropy__astropy-14995,claude-haiku-4-5,turn-loop,0,1,6,8,0,15579,1122,13417,13838,0.039828,12.121,
astropy__astropy-14995,claude-haiku-4-5,turn-loop-schema,0,1,15,15,0,35415,1082,107366,20141,0.076738,19.377,
astropy__astropy-14995,claude-haiku-4-5,turn-loop-structured,0,0,2,2,6,4424,1092,0,0,0.009884,7.431,
astropy__astropy-14995,claude-sonnet-4-6,one-shot,0,1,1,0,0,1138,20,0,0,0.003714,4.524,
astropy__astropy-14995,claude-sonnet-4-6,turn-loop,0,1,3,4,0,4807,461,0,4318,0.037528,8.724,
astropy__astropy-14995,claude-sonnet-4-6,turn-loop-schema,0,1,3,4,0,4791,259,0,4614,0.035560,6.207,
astropy__astropy-14995,claude-sonnet-4-6,turn-loop-structured,0,1,4,4,0,4733,938,1689,5604,0.049791,17.826,
astropy__astropy-6938,claude-haiku-4-5,one-shot,0,1,1,0,0,444,668,0,0,0.003784,4.696,
astropy__astropy-6938,claude-haiku-4-5,turn-loop,0,1,5,7,0,13207,711,0,11578,0.031234,8.686,
astropy__astropy-6938,claude-haiku-4-5,turn-loop-schema,0,1,15,15,0,26040,1100,68548,15810,0.058157,18.277,
astropy__astropy-6938,claude-haiku-4-5,turn-loop-structured,0,1,2,2,9,3265,1693,0,0,0.011730,10.884,
astropy__astropy-6938,claude-sonnet-4-6,one-shot,0,1,1,0,0,445,18,0,0,0.001605,1.609,
astropy__astropy-6938,claude-sonnet-4-6,turn-loop,0,1,3,3,0,2157,298,0,2934,0.021943,7.423,
astropy__astropy-6938,claude-sonnet-4-6,turn-loop-schema,0,1,2,2,0,1612,109,0,1608,0.012501,3.759,
astropy__astropy-6938,claude-sonnet-4-6,turn-loop-structured,0,1,2,2,0,2157,128,0,0,0.008391,4.798,
