instance_id,repo,n_solved,n_total,pass_rate
astropy__astropy-7746,astropy/astropy,0,72,0.0000
django__django-11019,django/django,0,72,0.0000
django__django-11564,django/django,0,72,0.0000
django__django-11630,django/django,0,72,0.0000
django__django-13768,django/django,0,72,0.0000
django__django-14667,django/django,0,72,0.0000
django__django-14730,django/django,0,72,0.0000
django__django-15695,django/django,0,72,0.0000
django__django-16816,django/django,0,72,0.0000
django__django-16820,django/django,0,72,0.0000
matplotlib__matplotlib-22835,matplotlib/matplotlib,0,72,0.0000
pallets__flask-5063,pallets/flask,0,72,0.0000
pydata__xarray-4493,pydata/xarray,0,72,0.0000
pylint-dev__pylint-7228,pylint-dev/pylint,0,72,0.0000
scikit-learn__scikit-learn-11040,scikit-learn/scikit-learn,0,72,0.0000
scikit-learn__scikit-learn-25638,scikit-learn/scikit-learn,0,72,0.0000
sphinx-doc__sphinx-7686,sphinx-doc/sphinx,0,72,0.0000
sphinx-doc__sphinx-7738,sphinx-doc/sphinx,0,72,0.0000
sphinx-doc__sphinx-8282,sphinx-doc/sphinx,0,72,0.0000
sympy__sympy-11400,sympy/sympy,0,72,0.0000
sympy__sympy-11870,sympy/sympy,0,72,0.0000
sympy__sympy-12171,sympy/sympy,0,72,0.0000
sympy__sympy-13146,sympy/sympy,0,72,0.0000
sympy__sympy-14024,sympy/sympy,0,72,0.0000
sympy__sympy-14308,sympy/sympy,0,72,0.0000
sympy__sympy-14317,sympy/sympy,0,72,0.0000
sympy__sympy-15308,sympy/sympy,0,72,0.0000
sympy__sympy-16106,sympy/sympy,0,72,0.0000
sympy__sympy-16281,sympy/sympy,0,72,0.0000
sympy__sympy-17630,sympy/sympy,0,72,0.0000
sympy__sympy-19254,sympy/sympy,0,72,0.0000
sympy__sympy-20322,sympy/sympy,0,72,0.0000
sympy__sympy-20639,sympy/sympy,0,72,0.0000
sympy__sympy-21171,sympy/sympy,0,72,0.0000
sympy__sympy-23191,sympy/sympy,0,72,0.0000
sympy__sympy-24102,sympy/sympy,0,72,0.0000
astropy__astropy-14182,astropy/astropy,1,72,0.0139
django__django-11742,django/django,1,72,0.0139
django__django-11905,django/django,1,72,0.0139
django__django-11910,django/django,1,72,0.0139
django__django-13220,django/django,1,72,0.0139
django__django-13265,django/django,1,72,0.0139
django__django-14997,django/django,1,72,0.0139
django__django-15252,django/django,1,72,0.0139
django__django-15738,django/django,1,72,0.0139
django__django-16229,django/django,1,72,0.0139
matplotlib__matplotlib-18869,matplotlib/matplotlib,1,72,0.0139
matplotlib__matplotlib-22711,matplotlib/matplotlib,1,72,0.0139
matplotlib__matplotlib-25079,matplotlib/matplotlib,1,72,0.0139
matplotlib__matplotlib-25433,matplotlib/matplotlib,1,72,0.0139
pydata__xarray-4248,pydata/xarray,1,72,0.0139
pytest-dev__pytest-5221,pytest-dev/pytest,1,72,0.0139
scikit-learn__scikit-learn-10508,scikit-learn/scikit-learn,1,72,0.0139
scikit-learn__scikit-learn-10949,scikit-learn/scikit-learn,1,72,0.0139
sphinx-doc__sphinx-8273,sphinx-doc/sphinx,1,72,0.0139
sphinx-doc__sphinx-8474,sphinx-doc/sphinx,1,72,0.0139
sympy__sympy-11897,sympy/sympy,1,72,0.0139
sympy__sympy-12236,sympy/sympy,1,72,0.0139
sympy__sympy-13043,sympy/sympy,1,72,0.0139
sympy__sympy-13437,sympy/sympy,1,72,0.0139
sympy__sympy-13773,sympy/sympy,1,72,0.0139
sympy__sympy-13895,sympy/sympy,1,72,0.0139
sympy__sympy-18199,sympy/sympy,1,72,0.0139
sympy__sympy-19007,sympy/sympy,1,72,0.0139
django__django-11283,django/django,2,72,0.0278
django__django-14155,django/django,2,72,0.0278
django__django-15996,django/django,2,72,0.0278
pallets__flask-4045,pallets/flask,2,72,0.0278
pydata__xarray-3364,pydata/xarray,2,72,0.0278
pytest-dev__pytest-5103,pytest-dev/pytest,2,72,0.0278
sympy__sympy-13177,sympy/sympy,2,72,0.0278
sympy__sympy-13915,sympy/sympy,2,72,0.0278
sympy__sympy-16503,sympy/sympy,2,72,0.0278
sympy__sympy-18698,sympy/sympy,2,72,0.0278
django__django-13321,django/django,3,72,0.0417
django__django-15202,django/django,3,72,0.0417
django__django-16910,django/django,3,72,0.0417
matplotlib__matplotlib-23299,matplotlib/matplotlib,3,72,0.0417
pytest-dev__pytest-8906,pytest-dev/pytest,3,72,0.0417
sphinx-doc__sphinx-8506,sphinx-doc/sphinx,3,72,0.0417
sympy__sympy-18835,sympy/sympy,3,72,0.0417
sympy__sympy-21612,sympy/sympy,3,72,0.0417
astropy__astropy-14365,astropy/astropy,4,72,0.0556
django__django-12589,django/django,4,72,0.0556
django__django-13448,django/django,4,72,0.0556
django__django-15388,django/django,4,72,0.0556
pytest-dev__pytest-6116,pytest-dev/pytest,4,72,0.0556
sphinx-doc__sphinx-10451,sphinx-doc/sphinx,4,72,0.0556
sympy__sympy-12454,sympy/sympy,4,72,0.0556
sympy__sympy-18087,sympy/sympy,4,72,0.0556
sympy__sympy-20049,sympy/sympy,4,72,0.0556
django__django-12113,django/django,5,72,0.0694
matplotlib__matplotlib-24265,matplotlib/matplotlib,5,72,0.0694
mwaskom__seaborn-3407,mwaskom/seaborn,5,72,0.0694
pallets__flask-4992,pallets/flask,5,72,0.0694
pytest-dev__pytest-5413,pytest-dev/pytest,5,72,0.0694
sympy__sympy-21627,sympy/sympy,5,72,0.0694
django__django-11797,django/django,6,72,0.0833
django__django-12470,django/django,6,72,0.0833
django__django-14534,django/django,6,72,0.0833
django__django-15320,django/django,6,72,0.0833
django__django-15819,django/django,6,72,0.0833
django__django-16408,django/django,6,72,0.0833
matplotlib__matplotlib-23476,matplotlib/matplotlib,6,72,0.0833
mwaskom__seaborn-2848,mwaskom/seaborn,6,72,0.0833
pytest-dev__pytest-8365,pytest-dev/pytest,6,72,0.0833
pytest-dev__pytest-9359,pytest-dev/pytest,6,72,0.0833
scikit-learn__scikit-learn-25500,scikit-learn/scikit-learn,7,72,0.0972
django__django-15061,django/django,8,72,0.1111
django__django-15781,django/django,8,72,0.1111
matplotlib__matplotlib-23563,matplotlib/matplotlib,8,72,0.1111
psf__requests-2148,psf/requests,8,72,0.1111
sympy__sympy-19487,sympy/sympy,8,72,0.1111
django__django-12908,django/django,9,72,0.1250
