model,condition,task_id,n,n_passed,pass_rate,turns_p25,turns_p50,turns_p75,tool_calls_p25,tool_calls_p50,tool_calls_p75,cost_p25,cost_p50,cost_p75,latency_p25,latency_p50,latency_p75,tokens_p25,tokens_p50,tokens_p75
claude-haiku-4-5,claude-code,astropy__astropy-12907,1,1,1.000,1.00,1.00,1.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,8.446,8.446,8.446,0,0,0
claude-haiku-4-5,claude-code,astropy__astropy-14182,1,1,1.000,1.00,1.00,1.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,21.345,21.345,21.345,0,0,0
claude-haiku-4-5,claude-code,astropy__astropy-14365,1,1,1.000,1.00,1.00,1.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,11.924,11.924,11.924,0,0,0
claude-haiku-4-5,claude-code,astropy__astropy-14995,1,1,1.000,1.00,1.00,1.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,18.975,18.975,18.975,0,0,0
claude-haiku-4-5,claude-code,astropy__astropy-6938,1,1,1.000,1.00,1.00,1.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,23.850,23.850,23.850,0,0,0
claude-haiku-4-5,one-shot,astropy__astropy-12907,1,1,1.000,1.00,1.00,1.00,0.00,0.00,0.00,0.000812,0.000812,0.000812,0.951,0.951,0.951,604,604,604
claude-haiku-4-5,one-shot,astropy__astropy-14182,1,1,1.000,1.00,1.00,1.00,0.00,0.00,0.00,0.001224,0.001224,0.001224,0.988,0.988,0.988,888,888,888
claude-haiku-4-5,one-shot,astropy__astropy-14365,1,1,1.000,1.00,1.00,1.00,0.00,0.00,0.00,0.000870,0.000870,0.000870,0.857,0.857,0.857,726,726,726
claude-haiku-4-5,one-shot,astropy__astropy-14995,1,0,0.000,1.00,1.00,1.00,0.00,0.00,0.00,0.001437,0.001437,0.001437,1.318,1.318,1.318,1101,1101,1101
claude-haiku-4-5,one-shot,astropy__astropy-6938,1,0,0.000,1.00,1.00,1.00,0.00,0.00,0.00,0.000599,0.000599,0.000599,1.786,1.786,1.786,379,379,379
claude-haiku-4-5,turn-loop,astropy__astropy-12907,1,0,0.000,15.00,15.00,15.00,15.00,15.00,15.00,0.059940,0.059940,0.059940,24.067,24.067,24.067,31908,31908,31908
claude-haiku-4-5,turn-loop,astropy__astropy-14182,1,1,1.000,11.00,11.00,11.00,13.00,13.00,13.00,0.063894,0.063894,0.063894,17.870,17.870,17.870,28877,28877,28877
claude-haiku-4-5,turn-loop,astropy__astropy-14365,1,1,1.000,10.00,10.00,10.00,10.00,10.00,10.00,0.066319,0.066319,0.066319,19.821,19.821,19.821,32324,32324,32324
claude-haiku-4-5,turn-loop,astropy__astropy-14995,1,0,0.000,15.00,15.00,15.00,16.00,16.00,16.00,0.079560,0.079560,0.079560,22.499,22.499,22.499,37447,37447,37447
claude-haiku-4-5,turn-loop,astropy__astropy-6938,1,0,0.000,14.00,14.00,14.00,15.00,15.00,15.00,0.061083,0.061083,0.061083,24.694,24.694,24.694,31640,31640,31640
