task_id,model,condition,replicate,passed,turns,tool_calls,invalid_tool_calls,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,cost_usd,latency_seconds,error
astropy__astropy-12907,claude-haiku-4-5,one-shot,0,1,1,0,0,552,52,0,0,0.000812,0.951,
astropy__astropy-12907,claude-haiku-4-5,turn-loop,0,0,15,15,0,30148,1760,134799,6010,0.059940,24.067,
astropy__astropy-12907,claude-haiku-4-5,claude-code,0,1,1,0,0,0,0,0,0,0.000000,8.446,
astropy__astropy-14182,claude-haiku-4-5,one-shot,0,1,1,0,0,804,84,0,0,0.001224,0.988,
astropy__astropy-14182,claude-haiku-4-5,turn-loop,0,1,11,13,0,27516,1361,56565,19133,0.063894,17.870,
astropy__astropy-14182,claude-haiku-4-5,claude-code,0,1,1,0,0,0,0,0,0,0.000000,21.345,
astropy__astropy-14365,claude-haiku-4-5,one-shot,0,1,1,0,0,690,36,0,0,0.000870,0.857,
astropy__astropy-14365,claude-haiku-4-5,turn-loop,0,1,10,10,0,30818,1506,47102,18609,0.066319,19.821,
astropy__astropy-14365,claude-haiku-4-5,claude-code,0,1,1,0,0,0,0,0,0,0.000000,11.924,
astropy__astropy-14995,claude-haiku-4-5,one-shot,0,0,1,0,0,1017,84,0,0,0.001437,1.318,
astropy__astropy-14995,claude-haiku-4-5,turn-loop,0,0,15,16,0,35786,1661,106931,19821,0.079560,22.499,
astropy__astropy-14995,claude-haiku-4-5,claude-code,0,1,1,0,0,0,0,0,0,0.000000,18.975,
astropy__astropy-6938,claude-haiku-4-5,one-shot,0,0,1,0,0,324,55,0,0,0.000599,1.786,
astropy__astropy-6938,claude-haiku-4-5,turn-loop,0,0,14,15,0,29806,1834,52118,13516,0.061083,24.694,
astropy__astropy-6938,claude-haiku-4-5,claude-code,0,1,1,0,0,0,0,0,0,0.000000,23.850,
